Local time,Open,High,Low,Close,Volume
21.10.2007 20:00:00.000 GMT-0400,1.43364,1.43437,1.41231,1.41747,865109.25
22.10.2007 20:00:00.000 GMT-0400,1.41740,1.42782,1.41687,1.42545,859710.6875
23.10.2007 20:00:00.000 GMT-0400,1.42540,1.42698,1.41873,1.42599,861285.5
24.10.2007 20:00:00.000 GMT-0400,1.42583,1.43443,1.42436,1.43223,860972.3125
25.10.2007 20:00:00.000 GMT-0400,1.43222,1.43990,1.43137,1.43894,838481.5625
26.10.2007 20:00:00.000 GMT-0400,1.43894,1.43894,1.43894,1.43894,0
27.10.2007 20:00:00.000 GMT-0400,1.44146,1.44221,1.43989,1.44021,33298.2383
28.10.2007 20:00:00.000 GMT-0400,1.44037,1.44378,1.43738,1.44153,862371.3125
29.10.2007 20:00:00.000 GMT-0400,1.44135,1.44428,1.43717,1.44369,861946.5625
30.10.2007 20:00:00.000 GMT-0400,1.44376,1.45035,1.44172,1.44695,860596.125
31.10.2007 20:00:00.000 GMT-0400,1.44688,1.44788,1.43995,1.44230,862782.75
01.11.2007 20:00:00.000 GMT-0400,1.44234,1.45273,1.44184,1.44977,807936
02.11.2007 20:00:00.000 GMT-0400,1.44977,1.44977,1.44977,1.44977,0
03.11.2007 20:00:00.000 GMT-0400,1.45126,1.45234,1.44982,1.45023,77299.2031
04.11.2007 19:00:00.000 GMT-0500,1.45002,1.45095,1.44406,1.44750,860877.875
05.11.2007 19:00:00.000 GMT-0500,1.44746,1.45706,1.44654,1.45593,860608.1875
06.11.2007 19:00:00.000 GMT-0500,1.45623,1.47294,1.45495,1.46203,856154.5
07.11.2007 19:00:00.000 GMT-0500,1.46218,1.47027,1.46159,1.46762,859169.4375
08.11.2007 19:00:00.000 GMT-0500,1.46761,1.47519,1.46286,1.46725,834365.75
09.11.2007 19:00:00.000 GMT-0500,1.46725,1.46725,1.46725,1.46725,0
10.11.2007 19:00:00.000 GMT-0500,1.46713,1.46778,1.46322,1.46558,32478.875
11.11.2007 19:00:00.000 GMT-0500,1.46544,1.46632,1.45168,1.45178,862021.25
12.11.2007 19:00:00.000 GMT-0500,1.45210,1.46325,1.45172,1.46182,854514.875
13.11.2007 19:00:00.000 GMT-0500,1.46171,1.47245,1.46092,1.46492,860939.5625
14.11.2007 19:00:00.000 GMT-0500,1.46490,1.47038,1.46009,1.46174,860134.5
15.11.2007 19:00:00.000 GMT-0500,1.46181,1.46721,1.45786,1.46584,836871.1875
16.11.2007 19:00:00.000 GMT-0500,1.46584,1.46584,1.46584,1.46584,0
17.11.2007 19:00:00.000 GMT-0500,1.46680,1.46734,1.46618,1.46670,33278.0234
18.11.2007 19:00:00.000 GMT-0500,1.46682,1.46884,1.46170,1.46656,859446.375
19.11.2007 19:00:00.000 GMT-0500,1.46657,1.48517,1.46303,1.48295,858034.125
20.11.2007 19:00:00.000 GMT-0500,1.48294,1.48689,1.47707,1.48547,855784.5
21.11.2007 19:00:00.000 GMT-0500,1.48551,1.48730,1.48185,1.48502,857259.0625
22.11.2007 19:00:00.000 GMT-0500,1.48495,1.49646,1.47816,1.48358,802921.75
23.11.2007 19:00:00.000 GMT-0500,1.48358,1.48358,1.48358,1.48358,0
24.11.2007 19:00:00.000 GMT-0500,1.48260,1.48381,1.48158,1.48322,77248.1484
25.11.2007 19:00:00.000 GMT-0500,1.48342,1.48869,1.48011,1.48710,858794
26.11.2007 19:00:00.000 GMT-0500,1.48707,1.49078,1.48061,1.48332,855812.625
27.11.2007 19:00:00.000 GMT-0500,1.48337,1.48579,1.47078,1.48372,857912.625
28.11.2007 19:00:00.000 GMT-0500,1.48368,1.48442,1.47188,1.47561,861007.625
29.11.2007 19:00:00.000 GMT-0500,1.47552,1.47849,1.46231,1.46313,840515.875
30.11.2007 19:00:00.000 GMT-0500,1.46313,1.46313,1.46313,1.46313,0
01.12.2007 19:00:00.000 GMT-0500,1.46315,1.46653,1.46298,1.46583,32566.9492
02.12.2007 19:00:00.000 GMT-0500,1.46585,1.47077,1.46180,1.46682,856373.875
03.12.2007 19:00:00.000 GMT-0500,1.46673,1.47688,1.46315,1.47609,861667.75
04.12.2007 19:00:00.000 GMT-0500,1.47599,1.47701,1.45905,1.45932,859866.25
05.12.2007 19:00:00.000 GMT-0500,1.45950,1.46593,1.45234,1.46550,856402.0625
06.12.2007 19:00:00.000 GMT-0500,1.46557,1.46725,1.45946,1.46534,839479.625
07.12.2007 19:00:00.000 GMT-0500,1.46534,1.46534,1.46534,1.46534,0
08.12.2007 19:00:00.000 GMT-0500,1.46527,1.46593,1.46443,1.46508,32364.3008
09.12.2007 19:00:00.000 GMT-0500,1.46512,1.47356,1.46361,1.47072,858247.9375
10.12.2007 19:00:00.000 GMT-0500,1.47061,1.47506,1.46378,1.46586,863510.1875
11.12.2007 19:00:00.000 GMT-0500,1.46609,1.47480,1.46469,1.47110,861805.125
12.12.2007 19:00:00.000 GMT-0500,1.47108,1.47379,1.45742,1.46248,863397.3125
13.12.2007 19:00:00.000 GMT-0500,1.46246,1.46578,1.44094,1.44282,808360.875
14.12.2007 19:00:00.000 GMT-0500,1.44282,1.44282,1.44282,1.44282,0
15.12.2007 19:00:00.000 GMT-0500,1.43901,1.44173,1.43784,1.44139,77911
16.12.2007 19:00:00.000 GMT-0500,1.44144,1.44521,1.43273,1.44084,859485.125
17.12.2007 19:00:00.000 GMT-0500,1.44101,1.44357,1.43639,1.44166,861210.0625
18.12.2007 19:00:00.000 GMT-0500,1.44167,1.44235,1.43229,1.43797,862917.5
19.12.2007 19:00:00.000 GMT-0500,1.43817,1.43899,1.43073,1.43292,861021.6875
20.12.2007 19:00:00.000 GMT-0500,1.43289,1.44101,1.43218,1.43772,839524.75
21.12.2007 19:00:00.000 GMT-0500,1.43772,1.43772,1.43772,1.43772,0
22.12.2007 19:00:00.000 GMT-0500,1.43714,1.43824,1.43643,1.43724,32745.1504
23.12.2007 19:00:00.000 GMT-0500,1.43763,1.44129,1.43692,1.43933,863321.875
24.12.2007 19:00:00.000 GMT-0500,1.43938,1.44205,1.43825,1.43940,861617.5
25.12.2007 19:00:00.000 GMT-0500,1.43936,1.45058,1.43866,1.44819,862873.1875
26.12.2007 19:00:00.000 GMT-0500,1.44846,1.46411,1.44643,1.46082,858463.0625
27.12.2007 19:00:00.000 GMT-0500,1.46094,1.47273,1.45873,1.47210,840526.4375
28.12.2007 19:00:00.000 GMT-0500,1.47210,1.47210,1.47210,1.47210,0
29.12.2007 19:00:00.000 GMT-0500,1.47195,1.47351,1.47022,1.47312,33191
30.12.2007 19:00:00.000 GMT-0500,1.47344,1.47491,1.45651,1.45844,862314.0625
31.12.2007 19:00:00.000 GMT-0500,1.45841,1.46285,1.45718,1.46174,860346.625
01.01.2008 19:00:00.000 GMT-0500,1.46172,1.47490,1.45925,1.47140,861171.5625
02.01.2008 19:00:00.000 GMT-0500,1.47142,1.47807,1.46842,1.47411,861327.3125
03.01.2008 19:00:00.000 GMT-0500,1.47404,1.48241,1.46910,1.47397,808796.625
04.01.2008 19:00:00.000 GMT-0500,1.47397,1.47397,1.47397,1.47397,0
05.01.2008 19:00:00.000 GMT-0500,1.47506,1.47547,1.47395,1.47472,77007.9219
06.01.2008 19:00:00.000 GMT-0500,1.47483,1.47494,1.46557,1.46802,862234.875
07.01.2008 19:00:00.000 GMT-0500,1.46810,1.47428,1.46754,1.47042,862930.0625
08.01.2008 19:00:00.000 GMT-0500,1.47050,1.47427,1.46357,1.46584,859026.625
09.01.2008 19:00:00.000 GMT-0500,1.46582,1.48133,1.46387,1.47980,863844.8125
10.01.2008 19:00:00.000 GMT-0500,1.47976,1.48190,1.47585,1.47717,839643.25
11.01.2008 19:00:00.000 GMT-0500,1.47717,1.47717,1.47717,1.47717,0
12.01.2008 19:00:00.000 GMT-0500,1.47733,1.48159,1.47733,1.48029,32626.8359
13.01.2008 19:00:00.000 GMT-0500,1.48035,1.49146,1.47931,1.48644,865715.375
14.01.2008 19:00:00.000 GMT-0500,1.48647,1.49219,1.47698,1.47990,867003.125
15.01.2008 19:00:00.000 GMT-0500,1.47990,1.48583,1.45923,1.46590,865265.1875
16.01.2008 19:00:00.000 GMT-0500,1.46598,1.47141,1.45863,1.46362,861326.6875
17.01.2008 19:00:00.000 GMT-0500,1.46360,1.46941,1.45982,1.46168,837042.5
18.01.2008 19:00:00.000 GMT-0500,1.46168,1.46168,1.46168,1.46168,0
19.01.2008 19:00:00.000 GMT-0500,1.45965,1.46080,1.45849,1.45942,32828.8867
20.01.2008 19:00:00.000 GMT-0500,1.45941,1.45977,1.44085,1.44158,862669.1875
21.01.2008 19:00:00.000 GMT-0500,1.44154,1.46840,1.43621,1.46420,862350
22.01.2008 19:00:00.000 GMT-0500,1.46419,1.46518,1.45072,1.46262,864527.8125
23.01.2008 19:00:00.000 GMT-0500,1.46253,1.47779,1.45874,1.47685,865028.125
24.01.2008 19:00:00.000 GMT-0500,1.47672,1.47736,1.46567,1.46807,810514.625
25.01.2008 19:00:00.000 GMT-0500,1.46807,1.46807,1.46807,1.46807,0
26.01.2008 19:00:00.000 GMT-0500,1.46812,1.47084,1.46736,1.46890,76159.9688
27.01.2008 19:00:00.000 GMT-0500,1.46886,1.47977,1.46588,1.47847,869726.75
28.01.2008 19:00:00.000 GMT-0500,1.47831,1.47880,1.47346,1.47659,867312.9375
29.01.2008 19:00:00.000 GMT-0500,1.47666,1.49073,1.47508,1.48247,870129
30.01.2008 19:00:00.000 GMT-0500,1.48246,1.49137,1.47994,1.48619,869326.1875
31.01.2008 19:00:00.000 GMT-0500,1.48596,1.49468,1.47839,1.47995,845760.25
01.02.2008 19:00:00.000 GMT-0500,1.47995,1.47995,1.47995,1.47995,0
02.02.2008 19:00:00.000 GMT-0500,1.48053,1.48106,1.47895,1.48011,33888.2461
03.02.2008 19:00:00.000 GMT-0500,1.47997,1.48482,1.47889,1.48243,864405.125
04.02.2008 19:00:00.000 GMT-0500,1.48232,1.48314,1.46185,1.46334,867846.0625
05.02.2008 19:00:00.000 GMT-0500,1.46316,1.46699,1.45877,1.46114,868255
06.02.2008 19:00:00.000 GMT-0500,1.46119,1.46513,1.44366,1.44742,863657.9375
07.02.2008 19:00:00.000 GMT-0500,1.44737,1.45475,1.44467,1.45030,845777.875
08.02.2008 19:00:00.000 GMT-0500,1.45030,1.45030,1.45030,1.45030,0
09.02.2008 19:00:00.000 GMT-0500,1.45197,1.45279,1.45076,1.45234,33943.3008
10.02.2008 19:00:00.000 GMT-0500,1.45228,1.45786,1.44788,1.44972,867693
11.02.2008 19:00:00.000 GMT-0500,1.44974,1.46141,1.44923,1.45780,870135.875
12.02.2008 19:00:00.000 GMT-0500,1.45778,1.45988,1.45307,1.45520,867079.8125
13.02.2008 19:00:00.000 GMT-0500,1.45526,1.46475,1.45457,1.46391,868501.125
14.02.2008 19:00:00.000 GMT-0500,1.46409,1.47084,1.46266,1.46802,815330.6875
15.02.2008 19:00:00.000 GMT-0500,1.46802,1.46802,1.46802,1.46802,0
16.02.2008 19:00:00.000 GMT-0500,1.46748,1.46806,1.46626,1.46708,78158.7813
17.02.2008 19:00:00.000 GMT-0500,1.46712,1.46901,1.46081,1.46478,865757.1875
18.02.2008 19:00:00.000 GMT-0500,1.46468,1.47560,1.46378,1.47274,865977.6875
19.02.2008 19:00:00.000 GMT-0500,1.47305,1.47330,1.46123,1.47207,862974.125
20.02.2008 19:00:00.000 GMT-0500,1.47200,1.48366,1.46986,1.48108,865622.75
21.02.2008 19:00:00.000 GMT-0500,1.48095,1.48614,1.47847,1.48235,843257.0625
22.02.2008 19:00:00.000 GMT-0500,1.48235,1.48235,1.48235,1.48235,0
23.02.2008 19:00:00.000 GMT-0500,1.48310,1.48396,1.48259,1.48307,32685.4258
24.02.2008 19:00:00.000 GMT-0500,1.48313,1.48440,1.47909,1.48303,866493.125
25.02.2008 19:00:00.000 GMT-0500,1.48312,1.50454,1.47754,1.49949,861186.875
26.02.2008 19:00:00.000 GMT-0500,1.49948,1.51435,1.49774,1.51150,858801.3125
27.02.2008 19:00:00.000 GMT-0500,1.51132,1.52301,1.50706,1.51913,865316.625
28.02.2008 19:00:00.000 GMT-0500,1.51908,1.52383,1.51417,1.51762,842838.0625
29.02.2008 19:00:00.000 GMT-0500,1.51762,1.51762,1.51762,1.51762,0
01.03.2008 19:00:00.000 GMT-0500,1.51832,1.52256,1.51781,1.51987,33416.875
02.03.2008 19:00:00.000 GMT-0500,1.51987,1.52734,1.51554,1.51957,865630.875
03.03.2008 19:00:00.000 GMT-0500,1.51958,1.52467,1.51706,1.52044,867808.75
04.03.2008 19:00:00.000 GMT-0500,1.52040,1.53015,1.51425,1.52749,867431.75
05.03.2008 19:00:00.000 GMT-0500,1.52764,1.53957,1.52678,1.53792,867729.9375
06.03.2008 19:00:00.000 GMT-0500,1.53811,1.54591,1.53138,1.53540,816864.75
07.03.2008 19:00:00.000 GMT-0500,1.53540,1.53540,1.53540,1.53540,0
08.03.2008 19:00:00.000 GMT-0500,1.53607,1.54030,1.53544,1.53924,76202.9609
09.03.2008 20:00:00.000 GMT-0400,1.53920,1.54003,1.53116,1.53352,867772
10.03.2008 20:00:00.000 GMT-0400,1.53349,1.54948,1.52812,1.53355,858351.5625
11.03.2008 20:00:00.000 GMT-0400,1.53372,1.55725,1.53323,1.55386,865544.4375
12.03.2008 20:00:00.000 GMT-0400,1.55392,1.56433,1.55181,1.56189,866621.875
13.03.2008 20:00:00.000 GMT-0400,1.56194,1.56869,1.55294,1.56816,810793.6875
14.03.2008 20:00:00.000 GMT-0400,1.56816,1.56816,1.56816,1.56816,0
15.03.2008 20:00:00.000 GMT-0400,1.56745,1.57694,1.56709,1.57478,78433.0625
16.03.2008 20:00:00.000 GMT-0400,1.57478,1.59021,1.56859,1.57418,871966.5
17.03.2008 20:00:00.000 GMT-0400,1.57425,1.58311,1.56081,1.56530,867751.125
18.03.2008 20:00:00.000 GMT-0400,1.56519,1.57852,1.55808,1.56345,867845.625
19.03.2008 20:00:00.000 GMT-0400,1.56355,1.56404,1.53926,1.54357,865829.25
20.03.2008 20:00:00.000 GMT-0400,1.54324,1.54739,1.54014,1.54305,805171.0625
21.03.2008 20:00:00.000 GMT-0400,1.54305,1.54305,1.54305,1.54305,0
22.03.2008 20:00:00.000 GMT-0400,1.54349,1.54389,1.54003,1.54030,77172.6953
23.03.2008 20:00:00.000 GMT-0400,1.54060,1.54543,1.53381,1.54316,867997.375
24.03.2008 20:00:00.000 GMT-0400,1.54311,1.56579,1.54079,1.56090,858461
25.03.2008 20:00:00.000 GMT-0400,1.56093,1.58582,1.55795,1.58190,855649.5625
26.03.2008 20:00:00.000 GMT-0400,1.58185,1.58455,1.57237,1.58086,864266
27.03.2008 20:00:00.000 GMT-0400,1.58101,1.58387,1.57392,1.57953,842958.5625
28.03.2008 20:00:00.000 GMT-0400,1.57953,1.57953,1.57953,1.57953,0
29.03.2008 20:00:00.000 GMT-0400,1.57956,1.57984,1.57931,1.57963,33080.0469
30.03.2008 20:00:00.000 GMT-0400,1.57960,1.58974,1.57444,1.57568,861612.5
31.03.2008 20:00:00.000 GMT-0400,1.57559,1.57857,1.55612,1.56168,863033.6875
01.04.2008 20:00:00.000 GMT-0400,1.56158,1.57007,1.55310,1.56732,863773.4375
02.04.2008 20:00:00.000 GMT-0400,1.56731,1.56858,1.55073,1.56599,862945.625
03.04.2008 20:00:00.000 GMT-0400,1.56575,1.57726,1.56345,1.57266,800111.125
04.04.2008 20:00:00.000 GMT-0400,1.57266,1.57266,1.57266,1.57266,0
05.04.2008 20:00:00.000 GMT-0400,1.57302,1.57375,1.57071,1.57300,77925.9453
06.04.2008 20:00:00.000 GMT-0400,1.57300,1.57308,1.56247,1.57058,864247.9375
07.04.2008 20:00:00.000 GMT-0400,1.57074,1.57983,1.56718,1.56945,865798.125
08.04.2008 20:00:00.000 GMT-0400,1.56940,1.58645,1.56835,1.58162,864904.75
09.04.2008 20:00:00.000 GMT-0400,1.58155,1.59143,1.57221,1.57563,868850.8125
10.04.2008 20:00:00.000 GMT-0400,1.57547,1.58564,1.57470,1.57892,811099.375
11.04.2008 20:00:00.000 GMT-0400,1.57892,1.57892,1.57892,1.57892,0
12.04.2008 20:00:00.000 GMT-0400,1.57834,1.57834,1.56913,1.57101,78137.0469
13.04.2008 20:00:00.000 GMT-0400,1.57097,1.58867,1.56684,1.58242,864804.25
14.04.2008 20:00:00.000 GMT-0400,1.58224,1.58754,1.57486,1.57846,868069.9375
15.04.2008 20:00:00.000 GMT-0400,1.57850,1.59786,1.57746,1.59365,864136.9375
16.04.2008 20:00:00.000 GMT-0400,1.59371,1.59826,1.58446,1.59046,866386.5
17.04.2008 20:00:00.000 GMT-0400,1.59037,1.59566,1.57092,1.58139,841563.5
18.04.2008 20:00:00.000 GMT-0400,1.58139,1.58139,1.58139,1.58139,0
19.04.2008 20:00:00.000 GMT-0400,1.58086,1.58207,1.57924,1.58080,33340.8867
20.04.2008 20:00:00.000 GMT-0400,1.58097,1.59466,1.57890,1.59096,867129.5625
21.04.2008 20:00:00.000 GMT-0400,1.59117,1.60183,1.58307,1.59721,864492.875
22.04.2008 20:00:00.000 GMT-0400,1.59720,1.59977,1.58583,1.58804,868407.3125
23.04.2008 20:00:00.000 GMT-0400,1.58795,1.58836,1.56331,1.56727,870701.375
24.04.2008 20:00:00.000 GMT-0400,1.56764,1.57063,1.55506,1.56292,844226.125
25.04.2008 20:00:00.000 GMT-0400,1.56292,1.56292,1.56292,1.56292,0
26.04.2008 20:00:00.000 GMT-0400,1.56242,1.56291,1.55892,1.56165,33497.4492
27.04.2008 20:00:00.000 GMT-0400,1.56168,1.56924,1.55904,1.56540,866573.625
28.04.2008 20:00:00.000 GMT-0400,1.56534,1.56587,1.55384,1.55752,868191.4375
29.04.2008 20:00:00.000 GMT-0400,1.55772,1.56415,1.55161,1.56241,865984.75
30.04.2008 20:00:00.000 GMT-0400,1.56238,1.56425,1.54273,1.54764,862966.125
01.05.2008 20:00:00.000 GMT-0400,1.54765,1.54978,1.53599,1.54227,843686.6875
02.05.2008 20:00:00.000 GMT-0400,1.54227,1.54227,1.54227,1.54227,0
03.05.2008 20:00:00.000 GMT-0400,1.54270,1.54394,1.54204,1.54345,33123.375
04.05.2008 20:00:00.000 GMT-0400,1.54332,1.55196,1.54232,1.55008,866147.1875
05.05.2008 20:00:00.000 GMT-0400,1.55016,1.55945,1.54495,1.55162,865517.8125
06.05.2008 20:00:00.000 GMT-0400,1.55161,1.55188,1.53312,1.53416,865953.75
07.05.2008 20:00:00.000 GMT-0400,1.53426,1.54407,1.52825,1.54032,865671.3125
08.05.2008 20:00:00.000 GMT-0400,1.54045,1.54909,1.53889,1.54883,811952.4375
09.05.2008 20:00:00.000 GMT-0400,1.54883,1.54883,1.54883,1.54883,0
10.05.2008 20:00:00.000 GMT-0400,1.54831,1.54831,1.54384,1.54656,76021.0156
11.05.2008 20:00:00.000 GMT-0400,1.54662,1.55699,1.53627,1.55301,861889.9375
12.05.2008 20:00:00.000 GMT-0400,1.55298,1.55653,1.54275,1.54683,864942.125
13.05.2008 20:00:00.000 GMT-0400,1.54710,1.54860,1.53925,1.54640,864371.6875
14.05.2008 20:00:00.000 GMT-0400,1.54648,1.55470,1.54173,1.54563,863493.125
15.05.2008 20:00:00.000 GMT-0400,1.54579,1.56019,1.54463,1.55724,843560.125
16.05.2008 20:00:00.000 GMT-0400,1.55724,1.55724,1.55724,1.55724,0
17.05.2008 20:00:00.000 GMT-0400,1.55779,1.55980,1.55687,1.55812,33370.5508
18.05.2008 20:00:00.000 GMT-0400,1.55802,1.56333,1.54811,1.55264,866521.1875
19.05.2008 20:00:00.000 GMT-0400,1.55259,1.56796,1.55035,1.56472,864430.625
20.05.2008 20:00:00.000 GMT-0400,1.56458,1.57965,1.56287,1.57787,868732.9375
21.05.2008 20:00:00.000 GMT-0400,1.57790,1.58130,1.56893,1.57300,868214.3125
22.05.2008 20:00:00.000 GMT-0400,1.57318,1.57939,1.56947,1.57620,846790.9375
23.05.2008 20:00:00.000 GMT-0400,1.57620,1.57620,1.57620,1.57620,0
24.05.2008 20:00:00.000 GMT-0400,1.57652,1.57831,1.57457,1.57776,32864.5508
25.05.2008 20:00:00.000 GMT-0400,1.57769,1.57910,1.57391,1.57763,865145.8125
26.05.2008 20:00:00.000 GMT-0400,1.57781,1.58178,1.56695,1.56867,864792.0625
27.05.2008 20:00:00.000 GMT-0400,1.56859,1.57600,1.56056,1.56545,862335.9375
28.05.2008 20:00:00.000 GMT-0400,1.56545,1.56620,1.54800,1.55150,860090.6875
29.05.2008 20:00:00.000 GMT-0400,1.55130,1.55682,1.54594,1.55504,811128
30.05.2008 20:00:00.000 GMT-0400,1.55504,1.55504,1.55504,1.55504,0
31.05.2008 20:00:00.000 GMT-0400,1.55512,1.55655,1.55455,1.55564,77590.9844
01.06.2008 20:00:00.000 GMT-0400,1.55570,1.55881,1.54845,1.55380,864369.6875
02.06.2008 20:00:00.000 GMT-0400,1.55384,1.56275,1.54085,1.54489,861010.0625
03.06.2008 20:00:00.000 GMT-0400,1.54480,1.54825,1.54157,1.54320,862259.5
04.06.2008 20:00:00.000 GMT-0400,1.54323,1.56045,1.53633,1.55950,862919.875
05.06.2008 20:00:00.000 GMT-0400,1.55928,1.57831,1.55691,1.57794,838852.0625
06.06.2008 20:00:00.000 GMT-0400,1.57794,1.57794,1.57794,1.57794,0
07.06.2008 20:00:00.000 GMT-0400,1.57831,1.57986,1.57719,1.57792,32986.1211
08.06.2008 20:00:00.000 GMT-0400,1.57787,1.58432,1.56160,1.56469,861553.625
09.06.2008 20:00:00.000 GMT-0400,1.56495,1.56495,1.54371,1.54574,861815.1875
10.06.2008 20:00:00.000 GMT-0400,1.54582,1.55868,1.54507,1.55580,861762.8125
11.06.2008 20:00:00.000 GMT-0400,1.55585,1.55628,1.53764,1.54457,860957.375
12.06.2008 20:00:00.000 GMT-0400,1.54456,1.54621,1.53004,1.53773,844552.1875
13.06.2008 20:00:00.000 GMT-0400,1.53773,1.53773,1.53773,1.53773,0
14.06.2008 20:00:00.000 GMT-0400,1.53826,1.54126,1.53779,1.53829,33412.6953
15.06.2008 20:00:00.000 GMT-0400,1.53830,1.55188,1.53433,1.54635,861788.8125
16.06.2008 20:00:00.000 GMT-0400,1.54622,1.55514,1.54558,1.55152,863878.25
17.06.2008 20:00:00.000 GMT-0400,1.55156,1.55513,1.54598,1.55430,860651.875
18.06.2008 20:00:00.000 GMT-0400,1.55447,1.55863,1.54631,1.54961,859878.625
19.06.2008 20:00:00.000 GMT-0400,1.54983,1.56510,1.54878,1.56104,809952.5
20.06.2008 20:00:00.000 GMT-0400,1.56104,1.56104,1.56104,1.56104,0
21.06.2008 20:00:00.000 GMT-0400,1.56153,1.56357,1.55917,1.56020,76289.9297
22.06.2008 20:00:00.000 GMT-0400,1.56006,1.56268,1.54661,1.55202,860231.6875
23.06.2008 20:00:00.000 GMT-0400,1.55192,1.56216,1.54876,1.55720,858961.625
24.06.2008 20:00:00.000 GMT-0400,1.55731,1.56872,1.55335,1.56626,859331.4375
25.06.2008 20:00:00.000 GMT-0400,1.56656,1.57672,1.56249,1.57593,860820.9375
26.06.2008 20:00:00.000 GMT-0400,1.57587,1.57973,1.57154,1.57832,840857.9375
27.06.2008 20:00:00.000 GMT-0400,1.57832,1.57832,1.57832,1.57832,0
28.06.2008 20:00:00.000 GMT-0400,1.57789,1.57979,1.57701,1.57917,32626.9629
29.06.2008 20:00:00.000 GMT-0400,1.57894,1.58359,1.57271,1.57590,860010.0625
30.06.2008 20:00:00.000 GMT-0400,1.57602,1.58249,1.57210,1.57872,857696.4375
01.07.2008 20:00:00.000 GMT-0400,1.57871,1.58917,1.57736,1.58762,854162
02.07.2008 20:00:00.000 GMT-0400,1.58757,1.59117,1.56708,1.56833,855155
03.07.2008 20:00:00.000 GMT-0400,1.56823,1.57262,1.56524,1.57041,836310.5
04.07.2008 20:00:00.000 GMT-0400,1.57041,1.57041,1.57041,1.57041,0
05.07.2008 20:00:00.000 GMT-0400,1.57002,1.57064,1.56859,1.56930,32912.8008
06.07.2008 20:00:00.000 GMT-0400,1.56917,1.57533,1.56072,1.57226,858047.6875
07.07.2008 20:00:00.000 GMT-0400,1.57230,1.57392,1.56333,1.56622,857477.875
08.07.2008 20:00:00.000 GMT-0400,1.56644,1.57494,1.56472,1.57282,855525.6875
09.07.2008 20:00:00.000 GMT-0400,1.57315,1.58022,1.56876,1.57850,856472.875
10.07.2008 20:00:00.000 GMT-0400,1.57910,1.59472,1.57604,1.59443,806391.4375
11.07.2008 20:00:00.000 GMT-0400,1.59443,1.59443,1.59443,1.59443,0
12.07.2008 20:00:00.000 GMT-0400,1.59498,1.59709,1.58954,1.58990,76514.3438
13.07.2008 20:00:00.000 GMT-0400,1.59008,1.59350,1.58392,1.58872,858248.8125
14.07.2008 20:00:00.000 GMT-0400,1.58888,1.60389,1.58643,1.59150,860935.125
15.07.2008 20:00:00.000 GMT-0400,1.59157,1.59477,1.57985,1.58242,857409.5625
16.07.2008 20:00:00.000 GMT-0400,1.58216,1.58929,1.57815,1.58502,859988.875
17.07.2008 20:00:00.000 GMT-0400,1.58501,1.58867,1.58035,1.58464,835675.375
18.07.2008 20:00:00.000 GMT-0400,1.58464,1.58464,1.58464,1.58464,0
19.07.2008 20:00:00.000 GMT-0400,1.58418,1.58461,1.58265,1.58422,33749.6016
20.07.2008 20:00:00.000 GMT-0400,1.58424,1.59313,1.58296,1.59103,856633.25
21.07.2008 20:00:00.000 GMT-0400,1.59130,1.59442,1.57536,1.57772,859914.75
22.07.2008 20:00:00.000 GMT-0400,1.57782,1.57989,1.56664,1.56812,859185.8125
23.07.2008 20:00:00.000 GMT-0400,1.56809,1.57139,1.56253,1.56830,858251.3125
24.07.2008 20:00:00.000 GMT-0400,1.56831,1.57537,1.56588,1.57084,834647.0625
25.07.2008 20:00:00.000 GMT-0400,1.57084,1.57084,1.57084,1.57084,0
26.07.2008 20:00:00.000 GMT-0400,1.57047,1.57067,1.56801,1.56896,33585.4414
27.07.2008 20:00:00.000 GMT-0400,1.56909,1.57683,1.56809,1.57422,858583
28.07.2008 20:00:00.000 GMT-0400,1.57434,1.57573,1.55493,1.55882,857697.375
29.07.2008 20:00:00.000 GMT-0400,1.55877,1.56166,1.55183,1.55805,854064.75
30.07.2008 20:00:00.000 GMT-0400,1.55793,1.56995,1.55658,1.55812,855777.875
31.07.2008 20:00:00.000 GMT-0400,1.55825,1.55886,1.55142,1.55625,805106.875
01.08.2008 20:00:00.000 GMT-0400,1.55625,1.55625,1.55625,1.55625,0
02.08.2008 20:00:00.000 GMT-0400,1.55638,1.55790,1.55586,1.55658,76726.7891
03.08.2008 20:00:00.000 GMT-0400,1.55662,1.56306,1.55526,1.55638,858256.1875
04.08.2008 20:00:00.000 GMT-0400,1.55624,1.55646,1.54442,1.54640,858722.3125
05.08.2008 20:00:00.000 GMT-0400,1.54650,1.55167,1.53956,1.54195,850771.9375
06.08.2008 20:00:00.000 GMT-0400,1.54205,1.55019,1.53068,1.53109,857908.25
07.08.2008 20:00:00.000 GMT-0400,1.53117,1.53128,1.49930,1.50062,835186.625
08.08.2008 20:00:00.000 GMT-0400,1.50062,1.50062,1.50062,1.50062,0
09.08.2008 20:00:00.000 GMT-0400,1.50000,1.50000,1.49026,1.49321,31973.4961
10.08.2008 20:00:00.000 GMT-0400,1.49333,1.50835,1.48786,1.49121,853893.75
11.08.2008 20:00:00.000 GMT-0400,1.49117,1.49646,1.48112,1.48911,856868.625
12.08.2008 20:00:00.000 GMT-0400,1.48891,1.49796,1.48397,1.48963,861116.5625
